;Hour 1;Hour 2;Hour 3;Hour 4;Hour 5;Hour 6;Hour 7;Hour 8;Hour 9;Hour 10;Hour 11;Hour 12;Hour 13;Hour 14;Hour 15;Hour 16;Hour 17;Hour 18;Hour 19;Hour 20;Hour 21;Hour 22;Hour 23;Hour 24;
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8781371.189;6672044.598;2958071.541;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;15481797.3;14572513.64;11593566.55;8567815.808;4534852.869;372807.5971;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;14577472.57;13069396.48;11066168.8;8647280.253;4676927.14;564011.8246;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;12519336.37;10987694.18;7841749.493;4443325.546;645353.2919;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;9903904.312;7747441.344;4164848.665;65133.49524;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;7296079.893;3161577.761;0;0;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;4992457.987;1032406.898;0;0;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;;;;;;;;;;;;;Energy exported
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8781.371189;6672.044598;2958.071541;0;0;0;0;0;0;0;18411.48733
4;0;0;0;0;0;0;0;0;0;0;0;0;15481.7973;14572.51364;11593.56655;8567.815808;4534.852869;372.8075971;0;0;0;0;0;0;55123.35376
5;0;0;0;0;0;0;0;0;0;0;0;0;14577.47257;13069.39648;11066.1688;8647.280253;4676.92714;564.0118246;0;0;0;0;0;0;52601.25706
6;0;0;0;0;0;0;0;0;0;0;0;0;12519.33637;10987.69418;7841.749493;4443.325546;645.3532919;0;0;0;0;0;0;0;36437.45887
7;0;0;0;0;0;0;0;0;0;0;0;9903.904312;7747.441344;4164.848665;65.13349524;0;0;0;0;0;0;0;0;0;21881.32782
8;0;0;0;0;0;0;0;0;0;0;0;7296.079893;3161.577761;0;0;0;0;0;0;0;0;0;0;0;10457.65765
9;0;0;0;0;0;0;0;0;0;0;0;4992.457987;1032.406898;0;0;0;0;0;0;0;0;0;0;0;6024.864885
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;197923.3463
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;0;1;2;3;4;5;6;7;8;9;10;;;;;;;;;;;;;;
Excess (kWh); 197,923.35 ;196961.4388;196004.2062;195051.6258;194103.6749;193160.331;192221.5718;191287.375;190357.7183;189432.5798;188511.9375;;;;;;;;;;;;;;
Income;; $29,544.22 ; $29,400.63 ; $29,257.74 ; $29,115.55 ; $28,974.05 ; $28,833.24 ; $28,693.11 ; $28,553.66 ; $28,414.89 ; $28,276.79 ;;;;;;;;;;;;;;
;$158,181.04 ;;;;;;;;;;;;;;;;;;;;;;;;
;0;1;2;3;4;5;6;7;8;9;10;;;;;;;;;;;;;;
Load (kWh);$1,344,639.67 ; 1,378,255.66 ; 1,412,712.05 ; 1,448,029.85 ; 1,484,230.60 ; 1,521,336.37 ; 1,559,369.78 ; 1,598,354.02 ; 1,638,312.87 ; 1,679,270.69 ; 1,721,252.46 ;;;;;;;;;;;;;;
Electricity bill;; $310,107.52 ; $317,860.21 ; $325,806.72 ; $333,951.89 ; $342,300.68 ; $350,858.20 ; $359,629.65 ; $368,620.40 ; $377,835.91 ; $387,281.80 ;;;;;;;;;;;;;;
Investment;1.80E+06;;;;;;;;;;;;;;;;;;;;;;;;
;$1,784,670.02 ;;;;;;;;;;;;;;;;;;;;;;;;
