Latitude (decimal degrees):
Longitude (decimal degrees):
Radiation database:

Results for:
Slope of plane (deg.):
Azimuth (orientation) of plane (deg.):
time(UTC),G(i),T2m
36526,0,4.05
36526.0416666667,0,3.94
36526.0833333333,0,3.83
36526.125,0,3.75
36526.1666666667,0,3.67
36526.2083333333,0,3.61
36526.25,0,3.57
36526.2916666666,0,3.7
36526.3333333333,1.65,3.71
36526.375,129.44,4.05
36526.4166666666,219.29,4.91
36526.4583333333,276.03,5.75
36526.5,298.27,6.35
36526.5416666666,262.46,6.69
36526.5833333333,212.08,6.79
36526.625,126.98,6.62
36526.6666666666,4.48,6.11
36526.7083333333,0,5.48
36526.75,0,5.02
36526.7916666666,0,4.83
36526.8333333333,0,4.61
36526.8749999999,0,4.41
36526.9166666666,0,4.26
36526.9583333333,0,4.13
36526.9999999999,0,3.89
36527.0416666666,0,3.75
36527.0833333333,0,3.64
36527.1249999999,0,3.54
36527.1666666666,0,3.45
36527.2083333333,0,3.37
36527.2499999999,0,3.29
36527.2916666666,0.42,3.39
36527.3333333333,98.12,3.61
36527.3749999999,217.9,4.54
36527.4166666666,295.07,5.59
36527.4583333332,356.69,6.47
36527.4999999999,326.53,7.14
36527.5416666666,331.15,7.53
36527.5833333332,277.99,7.68
36527.6249999999,217.58,7.61
36527.6666666666,116.9,7.24
36527.7083333332,2.86,6.54
36527.7499999999,0,5.77
36527.7916666666,0,5.29
36527.8333333332,0,4.86
36527.8749999999,0,4.51
36527.9166666666,0,4.25
36527.9583333332,0,4.06
36527.9999999999,0,4.87
36528.0416666665,0,4.64
36528.0833333332,0,4.43
36528.1249999999,0,4.25
36528.1666666665,0,4.1
36528.2083333332,0,3.98
36528.2499999999,2.01,3.89
36528.2916666665,78.08,4.31
36528.3333333332,208.84,5.47
36528.3749999999,328.29,6.76
36528.4166666665,410,7.86
36528.4583333332,470.57,8.77
36528.4999999999,444,9.46
36528.5416666665,425.29,9.88
36528.5833333332,375.6,10.05
36528.6249999998,308.18,9.95
36528.6666666665,202.12,9.64
36528.7083333332,76.3,9.03
36528.7499999998,0.58,8.1
36528.7916666665,0,7.22
36528.8333333332,0,6.5
36528.8749999998,0,5.94
36528.9166666665,0,5.52
36528.9583333332,0,5.19
36528.9999999998,0,6.79
36529.0416666665,0,6.44
36529.0833333332,0,6.15
36529.1249999998,0,5.88
36529.1666666665,0,5.67
36529.2083333331,2.75,5.5
36529.2499999998,60.18,5.81
36529.2916666665,191.78,7.31
36529.3333333331,343.86,8.79
36529.3749999998,472.15,10.09
36529.4166666665,546.95,11.19
36529.4583333331,597.27,12.11
36529.4999999998,597.96,12.76
36529.5416666665,568.53,13.19
36529.5833333331,480.28,13.39
36529.6249999998,393.01,13.35
36529.6666666665,271.95,13.03
36529.7083333331,143.01,12.46
36529.7499999998,27.68,11.63
36529.7916666664,0.02,10.49
36529.8333333331,0,9.39
36529.8749999998,0,8.52
36529.9166666664,0,7.83
36529.9583333331,0,7.29
36529.9999999998,0,9.94
36530.0416666664,0,9.54
36530.0833333331,0,9.22
36530.1249999998,0,8.95
36530.1666666664,0.21,8.72
36530.2083333331,31.06,8.79
36530.2499999998,109.44,9.85
36530.2916666664,234.12,11.25
36530.3333333331,367.69,12.47
36530.3749999997,480.02,13.56
36530.4166666664,513.04,14.5
36530.4583333331,569.36,15.26
36530.4999999997,573.22,15.83
36530.5416666664,529.68,16.2
36530.5833333331,472.47,16.38
36530.6249999997,404.17,16.37
36530.6666666664,288.59,16.11
36530.7083333331,172.23,15.66
36530.7499999997,62.86,15.01
36530.7916666664,13.17,14.01
36530.8333333331,0,12.87
36530.8749999997,0,11.91
36530.9166666664,0,11.14
36530.958333333,0,10.55
36530.9999999997,0,13.25
36531.0416666664,0,12.78
36531.083333333,0,12.4
36531.1249999997,0,12.08
36531.1666666664,5.63,11.84
36531.208333333,43.34,12.15
36531.2499999997,119.14,13.32
36531.2916666664,243.7,14.5
36531.333333333,383.42,15.65
36531.3749999997,493.67,16.76
36531.4166666664,548.33,17.71
36531.458333333,596.74,18.46
36531.4999999997,602.2,19.02
36531.5416666663,568.49,19.41
36531.583333333,520.4,19.62
36531.6249999997,428.2,19.65
36531.6666666663,325,19.46
36531.708333333,201.34,19.05
36531.7499999997,87.08,18.44
36531.7916666663,30.64,17.49
36531.833333333,0.2,16.42
36531.8749999997,0,15.36
36531.9166666663,0,14.54
36531.958333333,0,13.88
36531.9999999997,0,15.53
36532.0416666663,0,15.07
36532.083333333,0,14.68
36532.1249999996,0,14.35
36532.1666666663,0.64,14.07
36532.208333333,35.08,14.13
36532.2499999996,106.63,15.12
36532.2916666663,233.74,16.34
36532.333333333,374.66,17.49
36532.3749999996,480.38,18.61
36532.4166666663,538.44,19.56
36532.458333333,589.39,20.35
36532.4999999996,607.74,20.95
36532.5416666663,565.55,21.37
36532.583333333,501.33,21.59
36532.6249999996,435.64,21.63
36532.6666666663,328.86,21.43
36532.7083333329,204.72,21.06
36532.7499999996,90.85,20.49
36532.7916666663,29.5,19.67
36532.8333333329,0.06,18.57
36532.8749999996,0,17.55
36532.9166666663,0,16.74
36532.9583333329,0,16.09
36532.9999999996,0,15.06
36533.0416666663,0,14.68
36533.0833333329,0,14.38
36533.1249999996,0,14.12
36533.1666666662,0,13.89
36533.2083333329,9.09,13.71
36533.2499999996,70.34,14.17
36533.2916666662,195.2,15.5
36533.3333333329,334.36,16.7
36533.3749999996,454.14,17.85
36533.4166666662,496.6,18.85
36533.4583333329,531.33,19.64
36533.4999999996,557.48,20.21
36533.5416666662,529.76,20.55
36533.5833333329,453.4,20.76
36533.6249999996,402.72,20.75
36533.6666666662,284.02,20.54
36533.7083333329,165.93,20.13
36533.7499999995,52.78,19.48
36533.7916666662,5.24,18.55
36533.8333333329,0,17.51
36533.8749999995,0,16.69
36533.9166666662,0,16.01
36533.9583333329,0,15.46
36533.9999999995,0,13.26
36534.0416666662,0,12.95
36534.0833333329,0,12.68
36534.1249999995,0,12.46
36534.1666666662,0,12.28
36534.2083333329,0,12.14
36534.2499999995,27.36,12.09
36534.2916666662,150.86,13.03
36534.3333333328,290.41,14.38
36534.3749999995,408.31,15.66
36534.4166666662,493.12,16.77
36534.4583333328,532.98,17.67
36534.4999999995,522.7,18.28
36534.5416666662,491.1,18.66
36534.5833333328,403.58,18.79
36534.6249999995,332.58,18.73
36534.6666666662,216.7,18.39
36534.7083333328,88.33,17.79
36534.7499999995,4.88,16.88
36534.7916666662,0,15.96
36534.8333333328,0,15.19
36534.8749999995,0,14.53
36534.9166666661,0,14.03
36534.9583333328,0,13.61
36534.9999999995,0,10.78
36535.0416666661,0,10.62
36535.0833333328,0,10.5
36535.1249999995,0,10.37
36535.1666666661,0,10.27
36535.2083333328,0,10.19
36535.2499999995,0,10.14
36535.2916666661,65.12,10.33
36535.3333333328,193.67,11.16
36535.3749999995,289.1,12.28
36535.4166666661,374.94,13.26
36535.4583333328,412,14.05
36535.4999999994,383.84,14.6
36535.5416666661,361.64,14.89
